name,red,green,blue,alpha,id
unknown,0,0,0,255,0
BG,0,145,255,255,0
bicycle,0,145,255,255,0
car,0,145,255,255,0
motorcycle,0,145,255,255,0
airplane,0,145,255,255,0
bus,0,145,255,255,0
train,0,145,255,255,0
truck,0,145,255,255,0
boat,0,145,255,255,0
traffic light,0,145,255,255,0
fire hydrant,0,145,255,255,0
stop sign,0,145,255,255,0
parking meter,0,145,255,255,0
bird,0,145,255,255,0
cat,0,145,255,255,0
dog,0,145,255,255,0
horse,0,145,255,255,0
sheep,0,145,255,255,0
cow,0,145,255,255,0
elephant,0,145,255,255,0
bear,0,145,255,255,0
zebra,0,145,255,255,0
giraffe,0,145,255,255,0
tie,0,145,255,255,0
frisbee,0,145,255,255,0
skis,0,145,255,255,0
snowboard,0,145,255,255,0
sports ball,0,145,255,255,0
kite,0,145,255,255,0
baseball bat,0,145,255,255,0
baseball glove,0,145,255,255,0
skateboard,0,145,255,255,0
surfboard,0,145,255,255,0
tennis racket,0,145,255,255,0
hot dog,0,145,255,255,0
pizza,0,145,255,255,0
donut,0,145,255,255,0
cake,0,145,255,255,0
teddy bear,0,145,255,255,0
hair drier,0,145,255,255,0
toothbrush,0,145,255,255,0
scissors,0,145,255,255,0
clock,0,145,255,255,0
oven,0,145,255,255,0
umbrella,0,145,255,255,0
person,255,0,72,255,1
bench,255,145,0,255,2
backpack,218,255,0,255,3
handbag,218,255,0,255,3
suitcase,218,255,0,255,3
bottle,145,255,0,255,4
wine glass,145,255,0,255,4
cup,255,0,145,255,5
fork,72,255,0,255,6
knife,72,255,0,255,6
spoon,72,255,0,255,6
bowl,72,255,0,255,6
banana,0,255,0,255,7
apple,0,255,0,255,7
sandwich,0,255,0,255,7
orange,0,255,0,255,7
broccoli,0,255,0,255,7
carrot,0,255,0,255,7
chair,0,255,218,255,8
couch,0,72,255,255,9
potted plant,255,0,218,255,10
vase,255,0,218,255,10
bed,145,0,255,255,11
dining table,255,0,0,255,12
toilet,72,0,255,255,13
tv,0,218,255,255,14
laptop,255,218,0,255,15
mouse,0,255,145,255,16
remote,0,255,145,255,16
keyboard,0,255,145,255,16
microwave,255,72,0,255,17
toaster,255,72,0,255,17
sink,218,0,255,255,18
refrigerator,0,255,72,255,19
book,0,0,255,255,20
